,user,text,scores,compound,user,text,scores,compound
14,BarackObama,"Jermaine Bell is just six years old, but when he saw people in need, he took the money he’d been saving for a trip… https://t.co/W4LaUUEYe6","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,KimKardashian,"RT @AppleMusic: .@kanyewest sits down with @zanelowe Thursday, 9AM PT only on @Beats1. And yes, they cover everything. 🤯 https://t.co/ENPCZ…","{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.4019}",0.4019
15,BarackObama,Bahamian families and communities face a long recovery from Hurricane Dorian. And Americans are reaching out to hel… https://t.co/9AbyqU5gcf,"{'neg': 0.0, 'neu': 0.904, 'pos': 0.096, 'compound': 0.2023}",0.2023,KimKardashian,RT @defjam: Yeezy takeover out in LA 🔥 #JesusIsKing https://t.co/5TtzuEaYRz,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
16,BarackObama,"As we remember those we lost on 9/11, we also remember the spirit of unity and togetherness that defined the weeks… https://t.co/vVlN1ckjQg","{'neg': 0.096, 'neu': 0.833, 'pos': 0.071, 'compound': -0.1531}",-0.1531,KimKardashian,RT @justinstaple: #jesusisking https://t.co/CfO96Zp3Ri,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
17,BarackObama,"Marca had a remarkable way of bringing out the best within us. For me, she was a trusted voice and a persistent, bu… https://t.co/NKXEI9izsi","{'neg': 0.0, 'neu': 0.623, 'pos': 0.377, 'compound': 0.8979}",0.8979,KimKardashian,"RT @KKWMAFIA: The @skims Contour Bonded collection smooths, compresses and lifts. Silicone grips hold everything in place, while mesh bonde…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
18,BarackObama,"Yesterday’s ruling is a big win for North Carolina—and for all of us. Voters should choose their representatives, n… https://t.co/nQ1T3U3eBU","{'neg': 0.0, 'neu': 0.826, 'pos': 0.174, 'compound': 0.5859}",0.5859,KimKardashian,😂😂😂 https://t.co/1LcTzV2HWM,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
19,BarackObama,"Saw this story of a young person doing great work and wanted to share it—keep it up, David! That’s some creative or… https://t.co/LI2hQ3Tovf","{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.8588}",0.8588,KimKardashian,SAME!!!!!! https://t.co/6Me9pZfLqV,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
20,BarackObama,Training is at the heart of organizing. It’s why I’ve always made it a priority – from my 2008 campaign until now.… https://t.co/KMSmanB2OK,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,KimKardashian,"RT @skims: The buttery, bonded construction of the NEW Contour Bonded collection tightly contours your body for super strength smoothing an…","{'neg': 0.0, 'neu': 0.728, 'pos': 0.272, 'compound': 0.7964}",0.7964
21,BarackObama,"With summer winding down, here’s a sampling of what Michelle and I have been listening to — some new, some old, som… https://t.co/f41MILYSBr","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,KimKardashian,"RT @skims: The High Waisted Bonded Short ($98) in Onyx, part of the exclusive Contour Bonded collection launching TOMORROW at 9AM PST / 12P…","{'neg': 0.0, 'neu': 0.936, 'pos': 0.064, 'compound': 0.128}",0.128
22,BarackObama,A good story gives you the chance to better understand someone else’s life. It can help you find common ground. And… https://t.co/cDU3IJN1nq,"{'neg': 0.0, 'neu': 0.618, 'pos': 0.382, 'compound': 0.8591}",0.8591,KimKardashian,RT @IMAX: For one weekend only in theatres. Limited tickets still available. #JesusIsKing https://t.co/uU1aUNnOcX https://t.co/QGdDcNo3VO,"{'neg': 0.119, 'neu': 0.881, 'pos': 0.0, 'compound': -0.2263}",-0.2263
23,BarackObama,"Toni Morrison was a national treasure, as good a storyteller, as captivating, in person as she was on the page. Her… https://t.co/859oLQ94Ta","{'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.6249}",0.6249,KimKardashian,"RT @defjam: JESUS IS KING 
2 Days away 🙏🏾

https://t.co/JCd1BKSnck https://t.co/zKwrheNT5d","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
